Feature,Mutual Information Score
street_name_COMPASSVALE CRES,0.008173449524496057
block_15,0.008171195247168805
block_201B,0.008111428298481327
block_37,0.008093444823991325
street_name_WOODLANDS DR 52,0.008055955050698005
block_757,0.008049946220940907
block_272D,0.008013018829217122
block_199,0.007983097843266895
street_name_WOODLANDS ST 83,0.007978554124126402
block_466C,0.007948853226808605
block_265C,0.007938975068179532
block_368,0.007914793866692138
street_name_YISHUN AVE 5,0.007903827579659906
block_23B,0.007889638242257746
street_name_WOODLANDS DR 50,0.00786920273512881
street_name_PASIR RIS ST 21,0.007865014480197718
block_786,0.007819306307504048
block_300,0.007816209795872053
block_682D,0.0078115709407009515
block_662A,0.007811211141251162
block_315C,0.007774634786029244
block_352,0.007750875419122227
block_115A,0.0077009520235229445
street_name_WOODLANDS CIRCLE,0.007686302216221241
street_name_WOODLANDS DR 70,0.007658066125950214
block_699,0.007636388215338297
street_name_HOUGANG AVE 7,0.007626393366921613
block_565,0.0076103847787278855
block_698B,0.007606573660803528
block_319A,0.007604356343948293
block_931,0.007594119183810699
street_name_JURONG WEST ST 71,0.007565474781595194
block_342B,0.007540588192966879
street_name_QUEEN ST,0.007534033327098344
street_name_TAMPINES ST 45,0.007493898152954426
block_107A,0.0074888397829151465
street_name_HO CHING RD,0.0074866342920709705
block_984A,0.0074841410054775626
block_17A,0.007465604950345872
block_627,0.0074605633808182414
block_26A,0.007459096559167655
block_336A,0.00745224424467561
block_893D,0.00744842649987576
block_11,0.007417495489189019
block_690F,0.007378489759976015
block_987A,0.00737311991887446
street_name_BT BATOK ST 34,0.007324620892118716
block_305C,0.007318851244473734
street_name_WOODLANDS DR 16,0.007310176974141935
block_278A,0.007304467397580838
street_name_JOO CHIAT RD,0.007300353352350131
block_317A,0.007285109648945243
block_115,0.007256040216133908
block_444,0.007248311441113042
street_name_CHOA CHU KANG CRES,0.007232823230292951
block_518A,0.007216417424855681
block_195C,0.007197153866890682
block_339,0.0071780901200035885
block_58,0.007175760760758765
block_981C,0.007172958737233337
street_name_LOR 5 TOA PAYOH,0.007172359210584123
block_680B,0.007157330144357488
block_326B,0.007152301955900997
block_652,0.007151482824961253
street_name_CLEMENTI AVE 4,0.00714557925844117
street_name_PASIR RIS ST 71,0.007139835476989154
block_980D,0.0071198704092356735
street_name_COMPASSVALE LANE,0.007079937870694053
block_997C,0.007073806550042194
block_383,0.0070593107499346
block_336C,0.007055950067853756
street_name_PASIR RIS ST 51,0.0070359231959651325
block_685A,0.007030776316566678
street_name_REDHILL LANE,0.007026886723531023
block_548,0.007013275232663263
block_147,0.0070118221543744585
block_754,0.007006330504445657
block_894D,0.0070059479662463175
block_362C,0.006998171886578586
block_390,0.006972482484492559
block_570,0.006966795564936845
block_262,0.006959109582217682
block_576,0.006958273153355732
block_212A,0.0069526304302476305
street_name_ADMIRALTY LINK,0.006949158876222494
block_208A,0.006942935450980237
block_269A,0.00693999475631113
block_244,0.006938207155243958
block_291B,0.006929511640794139
block_786E,0.006926581696723444
block_469C,0.006910773034038309
block_290D,0.006908546129456683
block_682B,0.00690783835375286
block_443B,0.006904846610379378
block_212,0.006892916670034666
street_name_BEDOK RESERVOIR VIEW,0.006890169116561928
region_West,0.0068829605625517765
street_name_SUMANG LANE,0.006864840095078595
block_450D,0.006859328955846511
block_675C,0.006847961202713693
block_24,0.006826964805408231
block_747B,0.0068200203559729555
block_103,0.006810126184785048
block_305,0.0068053699636208
block_212B,0.0068039113004125795
street_name_PIPIT RD,0.0068025522455772425
block_453A,0.006799044925189346
street_name_JLN MA'MOR,0.006794911061795972
block_468,0.006792337064229326
town_SEMBAWANG,0.006787733753678804
street_name_YISHUN ST 41,0.006776564599960899
block_519B,0.00677280077160991
block_502,0.006770906262056897
block_289,0.006766577944959495
block_751,0.006733454612816825
block_324D,0.006729819877551613
block_354C,0.006714458847030924
block_395,0.006690934982961139
block_675,0.006689145395990526
block_315,0.006681688072061043
street_name_KRETA AYER RD,0.006680579622793559
block_765,0.00668021470768787
block_107D,0.006679053739713892
block_184C,0.006671545801086642
block_448C,0.006660191173558205
block_524,0.006648821755460554
block_871,0.006648333921307259
block_408B,0.006605340557824579
street_name_CLEMENTI AVE 1,0.006590968724200286
block_712,0.006588521190059371
street_name_LOR LEW LIAN,0.006579292253853897
block_681B,0.006569986122098914
street_name_BISHAN ST 11,0.006543094480743417
block_266C,0.00653983837929295
block_679,0.006539811818227825
block_204,0.006539574927088232
block_188A,0.006528582486649448
block_281,0.006525763859764888
flat_model_Type S2,0.006493651311900495
block_18D,0.006487026470898938
block_211D,0.006482143670333729
block_431D,0.006474343033213925
block_80C,0.006471786690364079
block_200,0.0064717380078844755
block_265B,0.0064709533154376775
block_874A,0.006468670525399123
street_name_JURONG WEST ST 65,0.006457932216452189
block_158D,0.0064486612390692866
block_651B,0.006429764529384707
block_2D,0.006420711374165666
block_187B,0.006409000705929424
street_name_GHIM MOH RD,0.006382536119888149
block_403D,0.00638020035273601
street_name_CHANGI VILLAGE RD,0.006363290707698255
street_name_MARSILING DR,0.006361899555330064
street_name_JLN KUKOH,0.006357739230936854
block_190B,0.0063534614355664765
street_name_PINE CL,0.006352523894538997
block_194A,0.006335984606139711
street_name_PUNGGOL CTRL,0.0063302225357604325
block_351,0.006323154469422443
block_563,0.006305810831592984
block_180A,0.0063030071182372804
street_name_MOH GUAN TER,0.006299816257580915
block_475,0.006289714034267924
block_816B,0.006287656038379774
block_448A,0.0062217194346869675
block_321A,0.0062055081964369485
block_291A,0.00620132377931526
block_274D,0.006194390126202709
block_498D,0.006190484580100852
block_181A,0.006186462285577177
block_93,0.00617786385293706
block_1F,0.006157136618937464
block_194,0.006151272682374254
block_127D,0.0061434465081278145
block_487A,0.0061341811587678485
street_name_RIVERVALE ST,0.0061318379018902025
block_663B,0.006117105611594065
block_811B,0.006113919913481647
block_27A,0.006102949820979253
block_184,0.006097556148580319
street_name_QUEENSWAY,0.006077283285897295
block_334B,0.006060453541872013
street_name_TESSENSOHN RD,0.0060352897545532525
street_name_SENGKANG EAST RD,0.006020668033394294
block_201E,0.006004544290658442
street_name_JURONG WEST ST 81,0.006001521541658672
block_666A,0.005991046652320975
block_933,0.005979414735172606
block_356B,0.005978718652657866
block_520A,0.0059741707491118845
block_20,0.005971303262133576
block_633D,0.00596860528938481
block_702,0.0059633670005592165
block_716,0.005924779832624072
block_638,0.005914046541492635
block_447,0.005911085141948602
block_256D,0.005898603901409061
street_name_UPP SERANGOON CRES,0.005884484622750374
street_name_FERNVALE LINK,0.005881866956651383
block_619,0.005870147515475876
block_943,0.005869946942512305
block_34,0.005866393985136442
block_787B,0.0058414721642736644
block_549,0.00583924737607644
block_700B,0.00583757144016861
block_669,0.005829562822839529
block_293,0.005802255311409876
block_258,0.005794851469590689
street_name_HOUGANG ST 92,0.005788461357495445
block_498B,0.005788226814274378
street_name_SIMEI ST 5,0.00578727827329284
